Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C5",0603,4,1uF,
"C11, C3, C9",0603,3,100nF,
"C4, C8",0603,2,4.7uF,
C6,0603,1,10uF,
C7,0603,1,22uF,
D1,D_SOD-123F,1,MBR120ESFT1G,
D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
F1,1812,1,RF1406-000,
J1,CUI_UJ2-MIBH-3-MSMT-TR-67,1,USB_B_Mini,
"LED1, LED3",1206,2,LTST-C150KGKT,
P1,MODULE_DM-OLED096-636,1,OLED,
P3,PinHeader_2x10_P2.54mm_Vertical,1,Breakout,
P4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
P5,SM02B-SRSS-TB_LF__SN_,1,SM02B-SRSS-TB(LF)(SN),
PWR1,SW_SPDT_PCM12,1,PWR,
Q1,SOT-23-3,1,PMOS,
"Q2, Q3",SOT-23-3,2,MMBT2222ALT1G,
"R1, R3, R4",0603,3,100K,
"R10, R11, R12, R13, R14, R15, R7, R8",0603,8,470,
R2,0603,1,1K,
R5,0603,1,4.7K,
R6,0603,1,2K,
R9,0603,1,10K,
SW1,KEY-SMD_L4.0-W2.9-LS4.8,1,SW_Push,
"SWA6, SWB7, SWD3, SWL4, SWR5, SWU2",SW_SPST_B3S-1000,6,SW_SPST,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U2,ESP32-WROOM-32,1,ESP32-WROOM-32,
U3,SOT-223-3_TabPin2,1,AP7361C-33E,
U4,SOT-23-5,1,MCP73831T-2ACI/OT,
